"","cage_id","animal_id","wins","rank"
"1","38","38-2",10.5,4
"2","38","38-3",22,2
"3","38","38-4",12,3
"4","38","38-5",27.5,1
"5","41","41-1",30,2
"6","41","41-2",14,4
"7","41","41-3",5,5
"8","41","41-4",42,1
"9","41","41-5",29,3
"10","47","47-1",16,4
"11","47","47-2",33,2
"12","47","47-3",11,5
"13","47","47-4",40,1
"14","47","47-5",20,3
"15","50","50-1",47,1
"16","50","50-2",20,3
"17","50","50-3",13,5
"18","50","50-4",21,2
"19","50","50-5",19,4
"20","74","74-1",42.5,1
"21","74","74-2",8.5,5
"22","74","74-3",29,2
"23","74","74-4",13,4
"24","74","74-5",27,3
"25","77","77-1",10.5,3
"26","77","77-2",34,1
"27","77","77-3",20,2
"28","77","77-4",7.5,4
"29","86","86-1",26,2
"30","86","86-2",12,4
"31","86","86-3",12,4
"32","86","86-4",24,3
"33","86","86-5",46,1
"34","110","110-1",44,1
"35","110","110-2",26,3
"36","110","110-3",28,2
"37","110","110-4",12.5,4
"38","110","110-5",9.5,5
"39","113","113-1",8,5
"40","113","113-2",25,2
"41","113","113-3",40,1
"42","113","113-4",23,4
"43","113","113-5",24,3
"44","119","119-1",10,5
"45","119","119-2",18,4
"46","119","119-3",35,1
"47","119","119-4",31,2
"48","119","119-5",26,3
"49","122","122-1",40,1
"50","122","122-2",39,2
"51","122","122-3",10,4
"52","122","122-4",4,5
"53","122","122-5",27,3
"54","146","146-1",27,3
"55","146","146-2",11,4
"56","146","146-3",44,1
"57","146","146-4",31,2
"58","146","146-5",7,5
"59","149","149-1",12,5
"60","149","149-2",34,2
"61","149","149-3",47,1
"62","149","149-4",14,3
"63","149","149-5",13,4
"64","155","155-1",15,4
"65","155","155-2",26,2
"66","155","155-3",47,1
"67","155","155-4",9,5
"68","155","155-5",23,3
"69","158","158-1",32,2
"70","158","158-2",46,1
"71","158","158-3",12.5,4
"72","158","158-4",9.5,5
"73","158","158-5",20,3
"74","173","173-1",12,5
"75","173","173-2",16,3
"76","173","173-3",14,4
"77","173","173-4",34,2
"78","173","173-5",44,1
"79","176","176-1",23,3
"80","176","176-2",43,1
"81","176","176-3",33,2
"82","176","176-4",7,5
"83","176","176-5",14,4
"84","182","182-1",11.5,5
"85","182","182-2",48,1
"86","182","182-3",13,3
"87","182","182-4",35,2
"88","182","182-5",12.5,4
"89","185","185-1",1,5
"90","185","185-2",48,1
"91","185","185-3",18,4
"92","185","185-4",27,2
"93","185","185-5",26,3
