"","cage_id","animal_id","day","wins","rank"
"1","110","110-1","d1",15,1
"2","110","110-2","d1",11,2
"3","110","110-3","d1",4,4
"4","110","110-4","d1",2.5,5
"5","110","110-5","d1",7.5,3
"6","110","110-1","d2",14,1
"7","110","110-2","d2",10,3
"8","110","110-3","d2",12,2
"9","110","110-4","d2",4,4
"10","110","110-5","d2",0,5
"11","110","110-1","d3",15,1
"12","110","110-2","d3",5,4
"13","110","110-3","d3",12,2
"14","110","110-4","d3",6,3
"15","110","110-5","d3",2,5
"16","113","113-1","d1",3,5
"17","113","113-2","d1",10,3
"18","113","113-3","d1",11,1
"19","113","113-4","d1",5,4
"20","113","113-5","d1",11,1
"21","113","113-1","d2",2,5
"22","113","113-2","d2",8,3
"23","113","113-3","d2",15,1
"24","113","113-4","d2",9,2
"25","113","113-5","d2",6,4
"26","113","113-1","d3",3,5
"27","113","113-2","d3",7,3
"28","113","113-3","d3",14,1
"29","113","113-4","d3",9,2
"30","113","113-5","d3",7,3
"31","119","119-1","d1",2,5
"32","119","119-2","d1",13,1
"33","119","119-3","d1",7,3
"34","119","119-4","d1",7,3
"35","119","119-5","d1",11,2
"36","119","119-1","d2",5,4
"37","119","119-2","d2",3,5
"38","119","119-3","d2",12,1
"39","119","119-4","d2",12,1
"40","119","119-5","d2",8,3
"41","119","119-1","d3",3,4
"42","119","119-2","d3",2,5
"43","119","119-3","d3",16,1
"44","119","119-4","d3",12,2
"45","119","119-5","d3",7,3
"46","122","122-1","d1",12,2
"47","122","122-2","d1",13,1
"48","122","122-3","d1",4,4
"49","122","122-4","d1",0,5
"50","122","122-5","d1",11,3
"51","122","122-1","d2",12,2
"52","122","122-2","d2",15,1
"53","122","122-3","d2",3,4
"54","122","122-4","d2",3,4
"55","122","122-5","d2",7,3
"56","122","122-1","d3",16,1
"57","122","122-2","d3",11,2
"58","122","122-3","d3",3,4
"59","122","122-4","d3",1,5
"60","122","122-5","d3",9,3
"61","146","146-1","d1",7,3
"62","146","146-2","d1",2,5
"63","146","146-3","d1",13,1
"64","146","146-4","d1",12,2
"65","146","146-5","d1",6,4
"66","146","146-1","d2",11,2
"67","146","146-2","d2",5,4
"68","146","146-3","d2",15,1
"69","146","146-4","d2",8,3
"70","146","146-5","d2",1,5
"71","146","146-1","d3",9,3
"72","146","146-2","d3",4,4
"73","146","146-3","d3",16,1
"74","146","146-4","d3",11,2
"75","146","146-5","d3",0,5
"76","149","149-1","d1",3,5
"77","149","149-2","d1",11,2
"78","149","149-3","d1",15,1
"79","149","149-4","d1",5,4
"80","149","149-5","d1",6,3
"81","149","149-1","d2",7,3
"82","149","149-2","d2",12,2
"83","149","149-3","d2",16,1
"84","149","149-4","d2",4,4
"85","149","149-5","d2",1,5
"86","149","149-1","d3",2,5
"87","149","149-2","d3",11,2
"88","149","149-3","d3",16,1
"89","149","149-4","d3",5,4
"90","149","149-5","d3",6,3
"91","155","155-1","d1",4,4
"92","155","155-2","d1",13,2
"93","155","155-3","d1",15,1
"94","155","155-4","d1",1,5
"95","155","155-5","d1",7,3
"96","155","155-1","d2",3,5
"97","155","155-2","d2",10,2
"98","155","155-3","d2",16,1
"99","155","155-4","d2",6,3
"100","155","155-5","d2",5,4
"101","155","155-1","d3",8,3
"102","155","155-2","d3",3,4
"103","155","155-3","d3",16,1
"104","155","155-4","d3",2,5
"105","155","155-5","d3",11,2
"106","158","158-1","d1",9,3
"107","158","158-2","d1",14,1
"108","158","158-3","d1",4.5,4
"109","158","158-4","d1",0.5,5
"110","158","158-5","d1",12,2
"111","158","158-1","d2",11,2
"112","158","158-2","d2",16,1
"113","158","158-3","d2",4,4
"114","158","158-4","d2",4,4
"115","158","158-5","d2",5,3
"116","158","158-1","d3",12,2
"117","158","158-2","d3",16,1
"118","158","158-3","d3",4,4
"119","158","158-4","d3",5,3
"120","158","158-5","d3",3,5
"121","173","173-1","d1",2,5
"122","173","173-2","d1",7,3
"123","173","173-3","d1",6,4
"124","173","173-4","d1",9,2
"125","173","173-5","d1",16,1
"126","173","173-1","d2",2,5
"127","173","173-2","d2",5,4
"128","173","173-3","d2",6,3
"129","173","173-4","d2",11,2
"130","173","173-5","d2",16,1
"131","173","173-1","d3",8,3
"132","173","173-2","d3",4,4
"133","173","173-3","d3",2,5
"134","173","173-4","d3",14,1
"135","173","173-5","d3",12,2
"136","176","176-1","d1",8,3
"137","176","176-2","d1",12,1
"138","176","176-3","d1",11,2
"139","176","176-4","d1",1,5
"140","176","176-5","d1",8,3
"141","176","176-1","d2",7,3
"142","176","176-2","d2",16,1
"143","176","176-3","d2",12,2
"144","176","176-4","d2",2,5
"145","176","176-5","d2",3,4
"146","176","176-1","d3",8,3
"147","176","176-2","d3",15,1
"148","176","176-3","d3",10,2
"149","176","176-4","d3",4,4
"150","176","176-5","d3",3,5
"151","182","182-1","d1",6,3
"152","182","182-2","d1",16,1
"153","182","182-3","d1",2,5
"154","182","182-4","d1",12,2
"155","182","182-5","d1",4,4
"156","182","182-1","d2",2.5,5
"157","182","182-2","d2",16,1
"158","182","182-3","d2",4,4
"159","182","182-4","d2",11,2
"160","182","182-5","d2",6.5,3
"161","182","182-1","d3",3,4
"162","182","182-2","d3",16,1
"163","182","182-3","d3",7,3
"164","182","182-4","d3",12,2
"165","182","182-5","d3",2,5
"166","185","185-1","d1",1,5
"167","185","185-2","d1",16,1
"168","185","185-3","d1",8,2
"169","185","185-4","d1",7,4
"170","185","185-5","d1",8,2
"171","185","185-1","d2",0,5
"172","185","185-2","d2",16,1
"173","185","185-3","d2",4,4
"174","185","185-4","d2",10,2
"175","185","185-5","d2",10,2
"176","185","185-1","d3",0,5
"177","185","185-2","d3",16,1
"178","185","185-3","d3",6,4
"179","185","185-4","d3",10,2
"180","185","185-5","d3",8,3
"181","38","38-2","d1",1.5,4
"182","38","38-3","d1",8,2
"183","38","38-4","d1",9,1
"184","38","38-5","d1",5.5,3
"185","38","38-2","d2",4,3
"186","38","38-3","d2",7,2
"187","38","38-4","d2",2,4
"188","38","38-5","d2",11,1
"189","38","38-2","d3",5,3
"190","38","38-3","d3",7,2
"191","38","38-4","d3",1,4
"192","38","38-5","d3",11,1
"193","41","41-1","d1",6,3
"194","41","41-2","d1",5,4
"195","41","41-3","d1",5,4
"196","41","41-4","d1",15,1
"197","41","41-5","d1",9,2
"198","41","41-1","d2",10,3
"199","41","41-2","d2",5,4
"200","41","41-3","d2",0,5
"201","41","41-4","d2",14,1
"202","41","41-5","d2",11,2
"203","41","41-1","d3",14,1
"204","41","41-2","d3",4,4
"205","41","41-3","d3",0,5
"206","41","41-4","d3",13,2
"207","41","41-5","d3",9,3
"208","47","47-1","d1",8,3
"209","47","47-2","d1",10,2
"210","47","47-3","d1",2,5
"211","47","47-4","d1",15,1
"212","47","47-5","d1",5,4
"213","47","47-1","d2",4,5
"214","47","47-2","d2",11,1
"215","47","47-3","d2",7,3
"216","47","47-4","d2",11,1
"217","47","47-5","d2",7,3
"218","47","47-1","d3",4,4
"219","47","47-2","d3",12,2
"220","47","47-3","d3",2,5
"221","47","47-4","d3",14,1
"222","47","47-5","d3",8,3
"223","50","50-1","d1",16,1
"224","50","50-2","d1",4,5
"225","50","50-3","d1",5,3
"226","50","50-4","d1",10,2
"227","50","50-5","d1",5,3
"228","50","50-1","d2",16,1
"229","50","50-2","d2",7,3
"230","50","50-3","d2",3,5
"231","50","50-4","d2",5,4
"232","50","50-5","d2",9,2
"233","50","50-1","d3",15,1
"234","50","50-2","d3",9,2
"235","50","50-3","d3",5,4
"236","50","50-4","d3",6,3
"237","50","50-5","d3",5,4
"238","74","74-1","d1",11.5,2
"239","74","74-2","d1",2.5,5
"240","74","74-3","d1",11,3
"241","74","74-4","d1",3,4
"242","74","74-5","d1",12,1
"243","74","74-1","d2",15,1
"244","74","74-2","d2",2,5
"245","74","74-3","d2",9,2
"246","74","74-4","d2",5,4
"247","74","74-5","d2",9,2
"248","74","74-1","d3",16,1
"249","74","74-2","d3",4,5
"250","74","74-3","d3",9,2
"251","74","74-4","d3",5,4
"252","74","74-5","d3",6,3
"253","77","77-1","d1",3,3
"254","77","77-2","d1",10,1
"255","77","77-3","d1",8,2
"256","77","77-4","d1",3,3
"257","77","77-1","d2",3,3
"258","77","77-2","d2",12,1
"259","77","77-3","d2",6,2
"260","77","77-4","d2",3,3
"261","77","77-1","d3",4.5,3
"262","77","77-2","d3",12,1
"263","77","77-3","d3",6,2
"264","77","77-4","d3",1.5,4
"265","86","86-1","d1",5,4
"266","86","86-2","d1",6,3
"267","86","86-3","d1",2,5
"268","86","86-4","d1",11,2
"269","86","86-5","d1",16,1
"270","86","86-1","d2",12,2
"271","86","86-2","d2",4,5
"272","86","86-3","d2",5,3
"273","86","86-4","d2",5,3
"274","86","86-5","d2",14,1
"275","86","86-1","d3",9,2
"276","86","86-2","d3",2,5
"277","86","86-3","d3",5,4
"278","86","86-4","d3",8,3
"279","86","86-5","d3",16,1
